新聞財經,#genre#
八大綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=114#https://ha.msbot.dpdns.org/4gtv_api.php?id=276
靖天綜合台,https://ha.msbot.dpdns.org/4gtv_api.php?id=21
靖天戲劇台,https://ha.msbot.dpdns.org/4gtv_api.php?id=116
靖洋戲劇台,https://ha.msbot.dpdns.org/4gtv_api.php?id=118
靖天日本台,https://ha.msbot.dpdns.org/4gtv_api.php?id=22
靖天育樂台,https://ha.msbot.dpdns.org/4gtv_api.php?id=83
靖天資訊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=88
KLT-靖天國際台,https://ha.msbot.dpdns.org/4gtv_api.php?id=84
Nice TV 靖天歡樂台,https://ha.msbot.dpdns.org/4gtv_api.php?id=119
韓國娛樂台 KMTV,https://ha.msbot.dpdns.org/4gtv_api.php?id=446
ROCK Entertainment,https://ha.msbot.dpdns.org/4gtv_api.php?id=275
Lifetime 娛樂頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=217
HITS頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=186
豬哥亮歌廳秀,https://ha.msbot.dpdns.org/4gtv_api.php?id=113
金光布袋戲,https://ha.msbot.dpdns.org/4gtv_api.php?id=236
GagaOOLala 精選LGBTQ+好劇,https://ha.msbot.dpdns.org/4gtv_api.php?id=478

電影紀實,#genre#
采昌影劇台,https://ha.msbot.dpdns.org/4gtv_api.php?id=25
靖天映畫,https://ha.msbot.dpdns.org/4gtv_api.php?id=42
靖天電影台,https://ha.msbot.dpdns.org/4gtv_api.php?id=82
影迷數位電影台,https://ha.msbot.dpdns.org/4gtv_api.php?id=40
影迷數位紀實台,https://ha.msbot.dpdns.org/4gtv_api.php?id=445
經典電影台,https://ha.msbot.dpdns.org/4gtv_api.php?id=201
amc電影台,https://ha.msbot.dpdns.org/4gtv_api.php?id=39
CinemaWorld,https://ha.msbot.dpdns.org/4gtv_api.php?id=225
My Cinema Europe HD 我的歐洲電影,https://ha.msbot.dpdns.org/4gtv_api.php?id=463
ROCK Action,https://ha.msbot.dpdns.org/4gtv_api.php?id=180
CI 罪案偵查頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=215
視納華仁紀實頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=38
History 歷史頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=214

兒童動漫,#genre#
Nick Jr. 兒童頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=219
尼克兒童頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=185
DreamWorks 夢工廠動畫,https://ha.msbot.dpdns.org/4gtv_api.php?id=282
靖天卡通台,https://ha.msbot.dpdns.org/4gtv_api.php?id=15
靖洋卡通Nice Bingo,https://ha.msbot.dpdns.org/4gtv_api.php?id=59
MOMO親子台,https://ha.msbot.dpdns.org/4gtv_api.php?id=231
經典卡通台,https://ha.msbot.dpdns.org/4gtv_api.php?id=202
精選動漫台,https://ha.msbot.dpdns.org/4gtv_api.php?id=204

體育車競,#genre#
getwin sport運動台,https://ha.msbot.dpdns.org/4gtv_api.php?id=93
博斯高球台,https://ha.msbot.dpdns.org/4gtv_api.php?id=264#https://ha.msbot.dpdns.org/4gtv_api.php?id=486
博斯高球二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=494
博斯運動一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=487#https://ha.msbot.dpdns.org/4gtv_api.php?id=265
博斯運動二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=495
博斯無限台,https://ha.msbot.dpdns.org/4gtv_api.php?id=266#https://ha.msbot.dpdns.org/4gtv_api.php?id=489
博斯無限二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=496
博斯網球台,https://ha.msbot.dpdns.org/4gtv_api.php?id=488#https://ha.msbot.dpdns.org/4gtv_api.php?id=267
博斯魅力台,https://ha.msbot.dpdns.org/4gtv_api.php?id=493
智林體育台,https://ha.msbot.dpdns.org/4gtv_api.php?id=58
時尚運動X,https://ha.msbot.dpdns.org/4gtv_api.php?id=69#https://ha.msbot.dpdns.org/4gtv_api.php?id=277
TRACE Sport Stars,https://ha.msbot.dpdns.org/4gtv_api.php?id=57
車迷TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=160
GINX Esports TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=179

旅遊時尚音樂,#genre#
民視旅遊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=61
亞洲旅遊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=261#https://ha.msbot.dpdns.org/4gtv_api.php?id=250
愛爾達生活旅遊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=237
fun探索娛樂台,https://ha.msbot.dpdns.org/4gtv_api.php?id=274
幸福空間居家台,https://ha.msbot.dpdns.org/4gtv_api.php?id=123
Love Nature,https://ha.msbot.dpdns.org/4gtv_api.php?id=139
Pet Club TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=464
滾動力rollor,https://ha.msbot.dpdns.org/4gtv_api.php?id=249
LUXE TV Channel,https://ha.msbot.dpdns.org/4gtv_api.php?id=175
TV5MONDE STYLE HD 生活時尚,https://ha.msbot.dpdns.org/4gtv_api.php?id=178
電影原聲台CMusic,https://ha.msbot.dpdns.org/4gtv_api.php?id=218
TRACE Urban,https://ha.msbot.dpdns.org/4gtv_api.php?id=78
Mezzo Live HD,https://ha.msbot.dpdns.org/4gtv_api.php?id=79
CLASSICA 古典樂,https://ha.msbot.dpdns.org/4gtv_api.php?id=80
ROCK Xstream搖滾極限頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=485
INULTRA,https://ha.msbot.dpdns.org/4gtv_api.php?id=501

購物宗教國際,#genre#
東森購物一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=173
東森購物二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=499
東森購物三台,https://ha.msbot.dpdns.org/4gtv_api.php?id=287
東森購物四台,https://ha.msbot.dpdns.org/4gtv_api.php?id=500
大愛電視,https://ha.msbot.dpdns.org/4gtv_api.php?id=209
大愛二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=230
好消息,https://ha.msbot.dpdns.org/4gtv_api.php?id=9
好消息2台,https://ha.msbot.dpdns.org/4gtv_api.php?id=8
ARIRANG阿里郎頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=189
LiveABC互動英語頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=188
ELTV生活英語台,https://ha.msbot.dpdns.org/4gtv_api.php?id=490
達文西頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=11
Global Trekker,https://ha.msbot.dpdns.org/4gtv_api.php?id=252
ABC Australia 澳洲公廣頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=498
NHK WORLD-JAPAN,https://ha.msbot.dpdns.org/4gtv_api.php?id=461
FRANCE24 英文台,https://ha.msbot.dpdns.org/4gtv_api.php?id=316
半島國際新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=462
DW德國之聲,https://ha.msbot.dpdns.org/4gtv_api.php?id=226
香蕉直擊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=94
國會頻道1,https://ha.msbot.dpdns.org/4gtv_api.php?id=170
國會頻道2,https://ha.msbot.dpdns.org/4gtv_api.php?id=171

FastTV飛速看輪播台,#genre#
市井豪門-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=341
華視好劇-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=330
公視好劇-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=337
客家好劇-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=346
懷舊經典電影-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=333
精選華語電影-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=335
台灣靈異事件-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=326
新兵日記-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=382
加油喜事-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=384
去有風的地方-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=386
多情城市-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=389
黃金歲月-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=392
花千骨-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=397
別打擾我種田-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=398
國外電影精選-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=414
日韓電影大賞-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=415
大愛精選-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=416
飛龍在天-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=417
台灣傳奇-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=419
世間路-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=421
恐怖電影-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=422
古裝武俠劇-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=423
以愛為營-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=424
精彩陸劇1台-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=426
包青天-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=427
007情報員-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=439
葉青歌仔戲-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=451
大兵日記-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=452
親戚不計較(特輯)-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=453
武媚娘傳奇-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=455
精彩陸劇2台-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=456
中國傳奇故事-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=458
機智校園生活-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=479
終極一班-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=491
鬥魚-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=492
傅子純的時光機,https://ha.msbot.dpdns.org/4gtv_api.php?id=497
天才衝衝衝-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=343
一字千金-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=344
綜藝大集合-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=345
食尚玩家-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=348
11點熱吵店-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=349
WTO姐妹會-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=350
威廉沈歡樂送-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=435
全家有智慧-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=375
民視健康美麗生活-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=376
姊妹亮起來-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=377
娛樂百分百-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=378
超級冰冰Show-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=379
豬哥會社-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=380
全能歌手-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=385
民視生活通-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=387
鬥陣大廟埕-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=388
我的成長-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=390
健康2.0-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=391
輕鬆看法律-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=393
野蠻遊戲：We Play -FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=395
最愛韓星-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=396
廚神明星秀-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=402
浩克慢遊-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=403
環遊世界800天 -FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=413
綜藝新時代-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=429
幸福保衛戰-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=430
同學！搞什麼鬼-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=431
爸媽囧很大-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=432
醫學大聯盟-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=433
GoGoTaiwan-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=434
2025雙北世壯運-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=459
一起追韓星-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=447
韓流美食料理秀-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=449
綜藝大贏家-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=460
台灣No.1棒球精選-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=465
HahaTai 哈哈台-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=466
金光布袋戲-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=339
哆啦A夢-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=331
經典卡通-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=332
免費精選動畫-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=437
經典迪士尼-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=340
Duck TV兒童卡通-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=334
親子一起看-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=436
怪獸之王-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=438
東離劍遊紀-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=448
MOMO親子精選-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=484

4gtv.cnlive備用源,#genre#
TVBS,http://4gtv.cnlive.club/channel/58f128b2/index.m3u8?q=1782639885837
TVBS新聞,http://4gtv.cnlive.club/channel/n1ea96b20/index.m3u8?q=1782639885837
東森新聞台,http://4gtv.cnlive.club/channel/n5ca63a3a/index.m3u8?q=1782639885837
寰宇新聞台,http://4gtv.cnlive.club/channel/n4da4274/index.m3u8?q=1782639885837
寰宇新聞台灣台,http://4gtv.cnlive.club/channel/n37458587/index.m3u8?q=1782639885837
鏡電視新聞台,http://4gtv.cnlive.club/channel/351c8485/index.m3u8?q=1782639885837
中天新聞台,http://4gtv.cnlive.club/channel/3824d067/index.m3u8?q=1782639885837
東森財經新聞台,http://4gtv.cnlive.club/channel/57ce2e74/index.m3u8?q=1782639885837
中視新聞,http://4gtv.cnlive.club/channel/7e6461d6/index.m3u8?q=1782639885837
華視新聞,http://4gtv.cnlive.club/channel/n692bc32c/index.m3u8?q=1782639885837
民視台灣台,http://4gtv.cnlive.club/channel/nce5d867/index.m3u8?q=1782639885837
民視新聞台,http://4gtv.cnlive.club/channel/nca14742/index.m3u8?q=1782639885837
民視第一台,http://4gtv.cnlive.club/channel/nc56ba28/index.m3u8?q=1782639885837
TVBS歡樂台,http://4gtv.cnlive.club/channel/498f035d/index.m3u8?q=1782639885837
TVBS精采台,http://4gtv.cnlive.club/channel/49d50255/index.m3u8?q=1782639885837
TVBS台劇台,http://4gtv.cnlive.club/channel/49342c47/index.m3u8?q=1782639885837
TVBS綜藝台,http://4gtv.cnlive.club/channel/49d6d25d/index.m3u8?q=1782639885837
三立綜合台,http://4gtv.cnlive.club/channel/45c7d3e3/index.m3u8?q=1782639885837
民視綜藝台,http://4gtv.cnlive.club/channel/nc46cff5/index.m3u8?q=1782639885837
公視戲劇,http://4gtv.cnlive.club/channel/7fdd881e/index.m3u8?q=1782639885837
原住民族電視台,http://4gtv.cnlive.club/channel/4f20dc68/index.m3u8?q=1782639885837
客家電視台,http://4gtv.cnlive.club/channel/n855e5fe/index.m3u8?q=1782639885837
豬哥亮歌廳秀,http://4gtv.cnlive.club/channel/n4271efdd/index.m3u8?q=1782639885837
金光布袋戲,http://4gtv.cnlive.club/channel/n125d8ecd/index.m3u8?q=1782639885837
大愛二台,http://4gtv.cnlive.club/channel/n7d3932e9/index.m3u8?q=1782639885837
大愛電視,http://4gtv.cnlive.club/channel/n7d3037d2/index.m3u8?q=1782639885837
人間衛視,http://4gtv.cnlive.club/channel/7ed5b6d3/index.m3u8?q=1782639885837
八大精彩台,http://4gtv.cnlive.club/channel/6626a9ca/index.m3u8?q=1782639885837
八大綜藝台,http://4gtv.cnlive.club/channel/662e9334/index.m3u8?q=1782639885837
尼克兒童頻道,http://4gtv.cnlive.club/channel/51bbda39/index.m3u8?q=1782639885837
影迷數位電影台,http://4gtv.cnlive.club/channel/n79da43c0/index.m3u8?q=1782639885837
達文西頻道,http://4gtv.cnlive.club/channel/n1d7d9ddb/index.m3u8?q=1782639885837
采昌影劇台,http://4gtv.cnlive.club/channel/n97ba44a/index.m3u8?q=1782639885837
靖天卡通台,http://4gtv.cnlive.club/channel/3ed78a45/index.m3u8?q=1782639885837
靖天戲劇台,http://4gtv.cnlive.club/channel/3f07b409/index.m3u8?q=1782639885837
靖天日本台,http://4gtv.cnlive.club/channel/3f1816f7/index.m3u8?q=1782639885837
靖天映畫,http://4gtv.cnlive.club/channel/n610faa83/index.m3u8?q=1782639885837
靖天綜合台,http://4gtv.cnlive.club/channel/3f6ecb92/index.m3u8?q=1782639885837
靖天育樂台,http://4gtv.cnlive.club/channel/3f7d0a6e/index.m3u8?q=1782639885837
靖天資訊台,http://4gtv.cnlive.club/channel/3fae463b/index.m3u8?q=1782639885837
靖天電影台,http://4gtv.cnlive.club/channel/3fcf6ae8/index.m3u8?q=1782639885837
靖洋卡通Nice Bingo,http://4gtv.cnlive.club/channel/n15c65427/index.m3u8?q=1782639885837
靖洋戲劇台,http://4gtv.cnlive.club/channel/48117ce7/index.m3u8?q=1782639885837
台灣傳奇-FastTV飛速看,http://4gtv.cnlive.club/channel/n496c6dde/index.m3u8?q=1782639885837
哆啦A夢-FastTV飛速看,http://4gtv.cnlive.club/channel/9fc6b5c/index.m3u8?q=1782639885837
國外電影精選-FastTV飛速看,http://4gtv.cnlive.club/channel/32bc6076/index.m3u8?q=1782639885837
客家好劇-FastTV飛速看,http://4gtv.cnlive.club/channel/n1f7f47/index.m3u8?q=1782639885837
懷舊經典電影-FastTV飛速看,http://4gtv.cnlive.club/channel/n424d08b7/index.m3u8?q=1782639885837
